No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
1,1S-2p,1215.66962039,0.00000,82259.19141,2,2,6.2649,0.13873,1.1098,-0.55680,
2,1S-3p,1025.72010424,0.00000,97492.48317,2,2,1.6725,0.26366E-01,0.17797,-1.27792,
3,1S-4p,972.53445551,0.00000,102824.12045,2,2,0.68186,0.96633E-02,0.61844E-01,-1.71385,
4,1S-5p,949.74066867,0.00000,105291.90051,2,2,0.34375,0.46459E-02,0.29036E-01,-2.03190,
5,1S-6p,937.80108953,0.00000,106632.42037,2,2,0.19728,0.25997E-02,0.16044E-01,-2.28405,
6,1S-7p,930.74589408,0.00000,107440.71033,2,2,0.12362,0.16046E-02,0.98279E-02,-2.49361,
7,1S-2P,1215.66422563,0.00000,82259.55646,2,4,6.2648*,0.27745,2.2196,0.04525,
8,1S-3P,1025.71896628,0.00000,97492.59133,2,4,1.6725*,0.52733E-01,0.35594,-0.67586,
9,1S-4P,972.53402393,0.00000,102824.16609,2,4,0.68186*,0.19327E-01,0.12369,-1.11178,
10,1S-5P,949.74045794,0.00000,105291.92388,2,4,0.34375*,0.92919E-02,0.58074E-01,-1.42983,
11,1S-6P,937.80097063,0.00000,106632.43389,2,4,0.19728*,0.51995E-02,0.32088E-01,-1.68198,
12,1S-7P,930.74582032,0.00000,107440.71885,2,4,0.12362*,0.32092E-02,0.19656E-01,-1.89154,
13,2S-3p,6564.56933941,82259.19141,97492.48317,2,2,0.22449,0.14495,6.2619,-0.53774,
14,2S-4p,4862.64746171,82259.19141,102824.12045,2,2,0.96683E-01,0.34255E-01,1.0961,-1.16425,
15,2S-5p,4341.65167316,82259.19141,105291.90051,2,2,0.49484E-01,0.13977E-01,0.39932,-1.55357,
16,2S-6p,4102.86220969,82259.19141,106632.42037,2,2,0.28584E-01,0.72097E-02,0.19466,-1.84105,
17,2S-7p,3971.16632712,82259.19141,107440.71033,2,2,0.17972E-01,0.42467E-02,0.11098,-2.07092,
18,2S-2P,273940977.11562,82259.19141,82259.55646,2,4,0.88798E-14*,0.19970E-04,35.999,-4.09757,
19,2S-3P,6564.52272941,82259.19141,97492.59133,2,4,0.22448*,0.28989,12.523,0.06430,
20,2S-4P,4862.63667230,82259.19141,102824.16609,2,4,0.96680E-01*,0.68507E-01,2.1922,-0.56221,
21,2S-5P,4341.64726932,82259.19141,105291.92388,2,4,0.49483E-01*,0.27952E-01,0.79862,-0.95152,
22,2S-6P,4102.85993380,82259.19141,106632.43389,2,4,0.28583E-01*,0.14419E-01,0.38931,-1.23900,
23,2S-7P,3971.16498443,82259.19141,107440.71885,2,4,0.17972E-01*,0.84933E-02,0.22195,-1.46886,
24,2p-3S,6564.56933941,82259.19141,97492.48317,2,2,0.21046E-01,0.13589E-01,0.58705,-1.56577,
25,2p-4S,4862.64746171,82259.19141,102824.12045,2,2,0.85941E-02,0.30449E-02,0.97434E-01,-2.21540,
26,2p-5S,4341.65167316,82259.19141,105291.90051,2,2,0.42955E-02,0.12132E-02,0.34664E-01,-2.61502,
27,2p-6S,4102.86220969,82259.19141,106632.42037,2,2,0.24501E-02,0.61798E-03,0.16685E-01,-2.90800,
28,2p-7S,3971.16632712,82259.19141,107440.71033,2,2,0.15289E-02,0.36127E-03,0.94410E-02,-3.14114,
29,2p-3d,6564.52272941,82259.19141,97492.59133,2,4,0.53877*,0.69576,30.056,0.44452,
30,2p-4d,4862.63667230,82259.19141,102824.16609,2,4,0.17188*,0.12179,3.8973,-0.31231,
31,2p-5d,4341.64726932,82259.19141,105291.92388,2,4,0.78548E-01*,0.44371E-01,1.2677,-0.75085,
