No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(s^-1),
1,1S-3d,1025.71896628,0.00000,97492.59133,2,4,593.75*,
2,1S-4d,972.53402393,0.00000,102824.16609,2,4,326.79*,
3,1S-5d,949.74045794,0.00000,105291.92388,2,4,184.51*,
4,1S-6d,937.80097063,0.00000,106632.43389,2,4,112.06*,
5,1S-7d,930.74582032,0.00000,107440.71885,2,4,72.545*,
6,1S-3D,1025.71858697,0.00000,97492.62738,2,6,593.74*,
7,1S-4D,972.53388007,0.00000,102824.18129,2,6,326.78*,
8,1S-5D,949.74038770,0.00000,105291.93166,2,6,184.51*,
9,1S-6D,937.80093099,0.00000,106632.43839,2,6,112.06*,
10,1S-7D,930.74579574,0.00000,107440.72169,2,6,72.543*,
11,2S-3d,6564.52272941,82259.19141,97492.59133,2,4,51.007*,
12,2S-4d,4862.63667230,82259.19141,102824.16609,2,4,5.1491*,
13,2S-5d,4341.64726932,82259.19141,105291.92388,2,4,0.96388*,
14,2S-6d,4102.85993380,82259.19141,106632.43389,2,4,0.25376*,
15,2S-7d,3971.16498443,82259.19141,107440.71885,2,4,0.83368E-01*,
16,2S-3D,6564.50719328,82259.19141,97492.62738,2,6,51.007*,
17,2S-4D,4862.63307593,82259.19141,102824.18129,2,6,5.1493*,
18,2S-5D,4341.64580140,82259.19141,105291.93166,2,6,0.96398*,
19,2S-6D,4102.85917518,82259.19141,106632.43839,2,6,0.25380*,
20,2S-7D,3971.16453688,82259.19141,107440.72169,2,6,0.83387E-01*,
21,2p-2P,273940977.11562,82259.19141,82259.55646,2,4,0.13095E-21*,
22,2p-3P,6564.52272941,82259.19141,97492.59133,2,4,11.954*,
23,2p-4P,4862.63667230,82259.19141,102824.16609,2,4,5.1485*,
24,2p-5P,4341.64726932,82259.19141,105291.92388,2,4,2.6351*,
25,2p-6P,4102.85993380,82259.19141,106632.43389,2,4,1.5222*,
26,2p-7P,3971.16498443,82259.19141,107440.71885,2,4,0.95705*,
27,2p-4f,4862.63307593,82259.19141,102824.18129,2,6,48.051*,
28,2p-5f,4341.64580140,82259.19141,105291.93166,2,6,32.123*,
29,2p-6f,4102.85917518,82259.19141,106632.43839,2,6,20.548*,
30,2p-7f,3971.16453688,82259.19141,107440.72169,2,6,13.611*,
31,2P-3p,6564.72665287,82259.55646,97492.48317,4,2,23.908*,
32,2P-4p,4862.73377870,82259.55646,102824.12045,4,2,10.297*,
33,2P-5p,4341.72048447,82259.55646,105291.90051,4,2,5.2699*,
34,2P-6p,4102.92365990,82259.55646,106632.42037,4,2,3.0441*,
35,2P-7p,3971.22389569,82259.55646,107440.71033,4,2,1.9139*,
36,2P-3P,6564.68004063,82259.55646,97492.59133,4,4,11.954*,
37,2P-4P,4862.72298891,82259.55646,102824.16609,4,4,5.1483*,
38,2P-5P,4341.71608049,82259.55646,105291.92388,4,4,2.6350*,
39,2P-6P,4102.92138394,82259.55646,106632.43389,4,4,1.5221*,
40,2P-7P,3971.22255296,82259.55646,107440.71885,4,4,0.95700*,
41,2P-4f,4862.71939241,82259.55646,102824.18129,4,6,13.729*,
42,2P-5f,4341.71461253,82259.55646,105291.93166,4,6,9.1778*,
43,2P-6f,4102.92062530,82259.55646,106632.43839,4,6,5.8709*,
44,2P-7f,3971.22210540,82259.55646,107440.72169,4,6,3.8888*,
45,2P-4F,4862.71759417,82259.55646,102824.18890,4,8,61.780*,
46,2P-5F,4341.71387855,82259.55646,105291.93556,4,8,41.300*,
47,2P-6F,4102.92024598,82259.55646,106632.44065,4,8,26.419*,
48,2P-7F,3971.22188162,82259.55646,107440.72310,4,8,17.500*,
49,3S-3d,924549772.08800,97492.48317,97492.59133,2,4,0.67288E-23*,
50,3S-4d,18755.80404838,97492.48317,102824.16609,2,4,3.7596*,
51,3S-5d,12821.43217262,97492.48317,105291.92388,2,4,1.0853*,
52,3S-6d,10940.97803091,97492.48317,106632.43389,2,4,0.42538*,
53,3S-7d,10052.03367093,97492.48317,107440.71885,2,4,0.20457*,
54,3S-3D,693416688.35922,97492.48317,97492.62738,2,6,0.28354E-22*,
55,3S-4D,18755.75054368,97492.48317,102824.18129,2,6,3.7596*,
56,3S-5D,12821.41937101,97492.48317,105291.93166,2,6,1.0853*,
57,3S-6D,10940.97263630,97492.48317,106632.43839,2,6,0.42539*,
58,3S-7D,10052.03080335,97492.48317,107440.72169,2,6,0.20458*,
59,3p-3P,924549772.08800,97492.48317,97492.59133,2,4,0.10766E-22*,
60,3p-4P,18755.80404838,97492.48317,102824.16609,2,4,1.2748*,
61,3p-5P,12821.43217262,97492.48317,105291.92388,2,4,0.71393*,
62,3p-6P,10940.97803091,97492.48317,106632.43389,2,4,0.42534*,
63,3p-7P,10052.03367093,97492.48317,107440.71885,2,4,0.27150*,
64,3p-4f,18755.75054368,97492.48317,102824.18129,2,6,4.4990*,
65,3p-5f,12821.41937101,97492.48317,105291.93166,2,6,0.20089E-01*,
66,3p-6f,10940.97263630,97492.48317,106632.43839,2,6,0.92552E-01*,
67,3p-7f,10052.03080335,97492.48317,107440.72169,2,6,0.16793*,
68,3P-4p,18756.34507032,97492.59133,102824.12045,4,2,2.5495*,
69,3P-5p,12821.64838647,97492.59133,105291.90051,4,2,1.4278*,
70,3P-6p,10941.12369086,97492.59133,106632.42037,4,2,0.85063*,
71,3P-7p,10052.15156451,97492.59133,107440.71033,4,2,0.54296*,
72,3P-4P,18756.18454419,97492.59133,102824.16609,4,4,1.2748*,
73,3P-5P,12821.60997960,97492.59133,105291.92388,4,4,0.71391*,
74,3P-6P,10941.10750628,97492.59133,106632.43389,4,4,0.42532*,
75,3P-7P,10052.14296140,97492.59133,107440.71885,4,4,0.27149*,
76,3P-4f,18756.13103732,97492.59133,102824.18129,4,6,1.2853*,
77,3P-5f,12821.59717764,97492.59133,105291.93166,4,6,0.57343E-02*,
78,3P-6f,10941.10211154,97492.59133,106632.43839,4,6,0.26452E-01*,
79,3P-7f,10052.14009376,97492.59133,107440.72169,4,6,0.47988E-01*,
80,3P-4F,18756.10428416,97492.59133,102824.18890,4,8,5.7841*,
81,3P-5F,12821.59077670,97492.59133,105291.93556,4,8,0.25808E-01*,
82,3P-6F,10941.09941419,97492.59133,106632.44065,4,8,0.11903*,
83,3P-7F,10052.13865995,97492.59133,107440.72310,4,8,0.21594*,
84,3d-4S,18756.34507032,97492.59133,102824.12045,4,2,0.41128*,
85,3d-5S,12821.64838647,97492.59133,105291.90051,4,2,0.25553*,
86,3d-6S,10941.12369086,97492.59133,106632.42037,4,2,0.15873*,
87,3d-7S,10052.15156451,97492.59133,107440.71033,4,2,0.10351*,
88,3d-4d,18756.18454419,97492.59133,102824.16609,4,4,0.83281*,
89,3d-5d,12821.60997960,97492.59133,105291.92388,4,4,0.40133*,
90,3d-6d,10941.10750628,97492.59133,106632.43389,4,4,0.22221*,
91,3d-7d,10052.14296140,97492.59133,107440.71885,4,4,0.13603*,
92,3d-3D,2773719066.2711,97492.59133,97492.62738,4,6,0.62019E-26*,
93,3d-4D,18756.13103732,97492.59133,102824.18129,4,6,0.23795*,
94,3d-5D,12821.59717764,97492.59133,105291.93166,4,6,0.11467*,
95,3d-6D,10941.10211154,97492.59133,106632.43839,4,6,0.63489E-01*,
96,3d-7D,10052.14009376,97492.59133,107440.72169,4,6,0.38868E-01*,
97,3d-5g,12821.59077670,97492.59133,105291.93556,4,8,10.449*,
98,3d-6g,10941.09941419,97492.59133,106632.44065,4,8,7.6186*,
99,3d-7g,10052.13865995,97492.59133,107440.72310,4,8,5.1946*,
100,3D-4S,18756.47190467,97492.62738,102824.12045,6,2,0.61692*,
101,3D-5S,12821.70765542,97492.62738,105291.90051,6,2,0.38330*,
102,3D-6S,10941.16684904,97492.62738,106632.42037,6,2,0.23809*,
103,3D-7S,10052.18799434,97492.62738,107440.71033,6,2,0.15527*,
104,3D-4d,18756.31137637,97492.62738,102824.16609,6,4,0.35692*,
105,3D-5d,12821.66924820,97492.62738,105291.92388,6,4,0.17200*,
106,3D-6d,10941.15066433,97492.62738,106632.43389,6,4,0.95231E-01*,
107,3D-7d,10052.17939117,97492.62738,107440.71885,6,4,0.58299E-01*,
108,3D-4D,18756.25786878,97492.62738,102824.18129,6,6,0.95177*,
109,3D-5D,12821.65644612,97492.62738,105291.93166,6,6,0.45866*,
110,3D-6D,10941.14526955,97492.62738,106632.43839,6,6,0.25395*,
111,3D-7D,10052.17652351,97492.62738,107440.72169,6,6,0.15547*,
112,3D-5g,12821.65004513,97492.62738,105291.93556,6,8,1.1610*,
113,3D-6g,10941.14257217,97492.62738,106632.44065,6,8,0.84651*,
114,3D-7g,10052.17508969,97492.62738,107440.72310,6,8,0.57718*,
115,3D-5G,12821.64620454,97492.62738,105291.93789,6,10,11.610*,
116,3D-6G,10941.14095375,97492.62738,106632.44200,6,10,8.4651*,
117,3D-7G,10052.17422939,97492.62738,107440.72396,6,10,5.7718*,
118,4S-4d,2191527817.0712,102824.12045,102824.16609,2,4,0.12789E-23*,
119,4S-5d,40521.86617572,102824.12045,105291.92388,2,4,0.53920*,
120,4S-6d,26258.34290482,102824.12045,106632.43389,2,4,0.23400*,
121,4S-7d,21660.97015223,102824.12045,107440.71885,2,4,0.11846*,
122,4S-4D,1643655284.2086,102824.12045,102824.18129,2,6,0.53890E-23*,
123,4S-5D,40521.73830553,102824.12045,105291.93166,2,6,0.53920*,
124,4S-6D,26258.31183189,102824.12045,106632.43839,2,6,0.23400*,
125,4S-7D,21660.95683655,102824.12045,107440.72169,2,6,0.11846*,
126,4p-4P,2191527817.0712,102824.12045,102824.16609,2,4,0.15986E-23*,
127,4p-5P,40521.86617572,102824.12045,105291.92388,2,4,0.22705*,
128,4p-6P,26258.34290482,102824.12045,106632.43389,2,4,0.14922*,
129,4p-7P,21660.97015223,102824.12045,107440.71885,2,4,0.98643E-01*,
130,4p-4f,1643655284.2086,102824.12045,102824.18129,2,6,0.25149E-23*,
131,4p-5f,40521.73830553,102824.12045,105291.93166,2,6,0.72859*,
132,4p-6f,26258.31183189,102824.12045,106632.43839,2,6,0.11200*,
133,4p-7f,21660.95683655,102824.12045,107440.72169,2,6,0.17119E-01*,
134,4P-5p,40522.99908633,102824.16609,105291.90051,4,2,0.45410*,
135,4P-6p,26258.75075292,102824.16609,106632.42037,4,2,0.29843*,
136,4P-7p,21661.22419918,102824.16609,107440.71033,4,2,0.19727*,
137,4P-5P,40522.61544844,102824.16609,105291.92388,4,4,0.22705*,
138,4P-6P,26258.65752954,102824.16609,106632.43389,4,4,0.14922*,
139,4P-7P,21661.18425047,102824.16609,107440.71885,4,4,0.98639E-01*,
140,4P-4f,6574734196.2897,102824.16609,102824.18129,4,6,0.70163E-27*,
141,4P-5f,40522.48757351,102824.16609,105291.93166,4,6,0.20816*,
142,4P-6f,26258.62645587,102824.16609,106632.43839,4,6,0.31994E-01*,
143,4P-7f,21661.17093454,102824.16609,107440.72169,4,6,0.48892E-02*,
144,4P-4F,4383165045.8413,102824.16609,102824.18890,4,8,0.23976E-25*,
145,4P-5F,40522.42363671,102824.16609,105291.93556,4,8,0.93672*,
146,4P-6F,26258.61091914,102824.16609,106632.44065,4,8,0.14398*,
147,4P-7F,21661.16427661,102824.16609,107440.72310,4,8,0.22003E-01*,
148,4d-5S,40522.99908633,102824.16609,105291.90051,4,2,0.12990*,
149,4d-6S,26258.75075292,102824.16609,106632.42037,4,2,0.93019E-01*,
150,4d-7S,21661.22419918,102824.16609,107440.71033,4,2,0.63753E-01*,
151,4d-5d,40522.61544844,102824.16609,105291.92388,4,4,0.18593*,
152,4d-6d,26258.65752954,102824.16609,106632.43389,4,4,0.11198*,
153,4d-7d,21661.18425047,102824.16609,107440.71885,4,4,0.70540E-01*,
