No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(s^-1),
1,1S-2S,1215.66962039,0.00000,82259.19141,2,2,0.24946E-05,
2,1S-3S,1025.72010424,0.00000,97492.48317,2,2,0.11087E-05,
3,1S-4S,972.53445551,0.00000,102824.12045,2,2,0.53029E-06,
4,1S-5S,949.74066867,0.00000,105291.90051,2,2,0.28704E-06,
5,1S-6S,937.80108953,0.00000,106632.42037,2,2,0.17111E-06,
6,1S-7S,930.74589408,0.00000,107440.71033,2,2,0.10968E-06,
7,1S-3d,1025.71896628,0.00000,97492.59133,2,4,0.69292E-08*,
8,1S-4d,972.53402393,0.00000,102824.16609,2,4,0.43213E-08*,
9,1S-5d,949.74045794,0.00000,105291.92388,2,4,0.25793E-08*,
10,1S-6d,937.80097063,0.00000,106632.43389,2,4,0.16136E-08*,
11,1S-7d,930.74582032,0.00000,107440.71885,2,4,0.10633E-08*,
12,2S-3S,6564.56933941,82259.19141,97492.48317,2,2,0.18708E-08,
13,2S-4S,4862.64746171,82259.19141,102824.12045,2,2,0.16144E-08,
14,2S-5S,4341.65167316,82259.19141,105291.90051,2,2,0.10788E-08,
15,2S-6S,4102.86220969,82259.19141,106632.42037,2,2,0.71574E-09,
16,2S-7S,3971.16632712,82259.19141,107440.71033,2,2,0.48563E-09,
17,2S-3d,6564.52272941,82259.19141,97492.59133,2,4,0.10479E-09*,
18,2S-4d,4862.63667230,82259.19141,102824.16609,2,4,0.60462E-10*,
19,2S-5d,4341.64726932,82259.19141,105291.92388,2,4,0.33703E-10*,
20,2S-6d,4102.85993380,82259.19141,106632.43389,2,4,0.20441E-10*,
21,2S-7d,3971.16498443,82259.19141,107440.71885,2,4,0.13025E-10*,
22,2p-3p,6564.56933941,82259.19141,97492.48317,2,2,0.49083E-09,
23,2p-4p,4862.64746171,82259.19141,102824.12045,2,2,0.38528E-09,
24,2p-5p,4341.65167316,82259.19141,105291.90051,2,2,0.24718E-09,
25,2p-6p,4102.86220969,82259.19141,106632.42037,2,2,0.15994E-09,
26,2p-7p,3971.16632712,82259.19141,107440.71033,2,2,0.10704E-09,
27,2p-2P,273940977.11562,82259.19141,82259.55646,2,4,0.43784E-12*,
28,2p-3P,6564.52272941,82259.19141,97492.59133,2,4,0.33801E-08*,
29,2p-4P,4862.63667230,82259.19141,102824.16609,2,4,0.17386E-08*,
30,2p-5P,4341.64726932,82259.19141,105291.92388,2,4,0.95590E-09*,
31,2p-6P,4102.85993380,82259.19141,106632.43389,2,4,0.57288E-09*,
32,2p-7P,3971.16498443,82259.19141,107440.71885,2,4,0.36774E-09*,
33,2P-3p,6564.72665287,82259.55646,97492.48317,4,2,0.12886E-07*,
34,2P-4p,4862.73377870,82259.55646,102824.12045,4,2,0.75163E-08*,
35,2P-5p,4341.72048447,82259.55646,105291.90051,4,2,0.43491E-08*,
36,2P-6p,4102.92365990,82259.55646,106632.42037,4,2,0.26754E-08*,
37,2P-7p,3971.22389569,82259.55646,107440.71033,4,2,0.17454E-08*,
38,2P-3P,6564.68004063,82259.55646,97492.59133,4,4,0.35289E-08*,
39,2P-4P,4862.72298891,82259.55646,102824.16609,4,4,0.27700E-08*,
40,2P-5P,4341.71608049,82259.55646,105291.92388,4,4,0.17786E-08*,
41,2P-6P,4102.92138394,82259.55646,106632.43389,4,4,0.11508E-08*,
42,2P-7P,3971.22255296,82259.55646,107440.71885,4,4,0.77260E-09*,
43,2P-4f,4862.71939241,82259.55646,102824.18129,4,6,0.43994E-10*,
44,2P-5f,4341.71461253,82259.55646,105291.93166,4,6,0.38489E-10*,
45,2P-6f,4102.92062530,82259.55646,106632.43839,4,6,0.28144E-10*,
46,2P-7f,3971.22210540,82259.55646,107440.72169,4,6,0.20124E-10*,
47,3S-4S,18755.96456799,97492.48317,102824.12045,2,2,0.20464E-10,
48,3S-5S,12821.47057842,97492.48317,105291.90051,2,2,0.25845E-10,
49,3S-6S,10940.99421511,97492.48317,106632.42037,2,2,0.21744E-10,
50,3S-7S,10052.04227385,97492.48317,107440.71033,2,2,0.16705E-10,
